Font: m5x7  Style: Medium
Point Size: 648   SP/PD Ratio: 0.8%

Characters included: 71/1649
Missing characters: 1578
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 12623	Hex: 314F	Char [ㅏ]
ID: 12625	Hex: 3151	Char [ㅑ]
ID: 12627	Hex: 3153	Char [ㅓ]
ID: 12629	Hex: 3155	Char [ㅕ]
ID: 12636	Hex: 315C	Char [ㅜ]
ID: 12640	Hex: 3160	Char [ㅠ]
ID: 12643	Hex: 3163	Char [ㅣ]
ID: 51648	Hex: C9C0	Char [지]
ID: 53804	Hex: D22C	Char [투]
ID: 44032	Hex: AC00	Char [가]
ID: 44033	Hex: AC01	Char [각]
ID: 44036	Hex: AC04	Char [간]
ID: 44039	Hex: AC07	Char [갇]
ID: 44040	Hex: AC08	Char [갈]
ID: 44041	Hex: AC09	Char [갉]
ID: 44042	Hex: AC0A	Char [갊]
ID: 44048	Hex: AC10	Char [감]
ID: 44049	Hex: AC11	Char [갑]
ID: 44050	Hex: AC12	Char [값]
ID: 44051	Hex: AC13	Char [갓]
ID: 44052	Hex: AC14	Char [갔]
ID: 44053	Hex: AC15	Char [강]
ID: 44054	Hex: AC16	Char [갖]
ID: 44055	Hex: AC17	Char [갗]
ID: 44057	Hex: AC19	Char [같]
ID: 44058	Hex: AC1A	Char [갚]
ID: 44059	Hex: AC1B	Char [갛]
ID: 44060	Hex: AC1C	Char [개]
ID: 44061	Hex: AC1D	Char [객]
ID: 44064	Hex: AC20	Char [갠]
ID: 44068	Hex: AC24	Char [갤]
ID: 44076	Hex: AC2C	Char [갬]
ID: 44077	Hex: AC2D	Char [갭]
ID: 44079	Hex: AC2F	Char [갯]
ID: 44080	Hex: AC30	Char [갰]
ID: 44081	Hex: AC31	Char [갱]
ID: 44088	Hex: AC38	Char [갸]
ID: 44089	Hex: AC39	Char [갹]
ID: 44092	Hex: AC3C	Char [갼]
ID: 44096	Hex: AC40	Char [걀]
ID: 44107	Hex: AC4B	Char [걋]
ID: 44109	Hex: AC4D	Char [걍]
ID: 44116	Hex: AC54	Char [걔]
ID: 44120	Hex: AC58	Char [걘]
ID: 44124	Hex: AC5C	Char [걜]
ID: 44144	Hex: AC70	Char [거]
ID: 44145	Hex: AC71	Char [걱]
ID: 44148	Hex: AC74	Char [건]
ID: 44151	Hex: AC77	Char [걷]
ID: 44152	Hex: AC78	Char [걸]
ID: 44154	Hex: AC7A	Char [걺]
ID: 44160	Hex: AC80	Char [검]
ID: 44161	Hex: AC81	Char [겁]
ID: 44163	Hex: AC83	Char [것]
ID: 44164	Hex: AC84	Char [겄]
ID: 44165	Hex: AC85	Char [겅]
ID: 44166	Hex: AC86	Char [겆]
ID: 44169	Hex: AC89	Char [겉]
ID: 44170	Hex: AC8A	Char [겊]
ID: 44171	Hex: AC8B	Char [겋]
ID: 44172	Hex: AC8C	Char [게]
ID: 44176	Hex: AC90	Char [겐]
ID: 44180	Hex: AC94	Char [겔]
ID: 44188	Hex: AC9C	Char [겜]
ID: 44189	Hex: AC9D	Char [겝]
ID: 44191	Hex: AC9F	Char [겟]
ID: 44192	Hex: ACA0	Char [겠]
ID: 44193	Hex: ACA1	Char [겡]
ID: 44200	Hex: ACA8	Char [겨]
ID: 44201	Hex: ACA9	Char [격]
ID: 44202	Hex: ACAA	Char [겪]
ID: 44204	Hex: ACAC	Char [견]
ID: 44207	Hex: ACAF	Char [겯]
ID: 44208	Hex: ACB0	Char [결]
ID: 44216	Hex: ACB8	Char [겸]
ID: 44217	Hex: ACB9	Char [겹]
ID: 44219	Hex: ACBB	Char [겻]
ID: 44220	Hex: ACBC	Char [겼]
ID: 44221	Hex: ACBD	Char [경]
ID: 44225	Hex: ACC1	Char [곁]
ID: 44228	Hex: ACC4	Char [계]
ID: 44232	Hex: ACC8	Char [곈]
ID: 44236	Hex: ACCC	Char [곌]
ID: 44245	Hex: ACD5	Char [곕]
ID: 44247	Hex: ACD7	Char [곗]
ID: 44257	Hex: ACE1	Char [곡]
